food_name,ingre_code,meta,l_cat,m_cat,s_cat,train_name
가지볶음,103001.0,B1003001,볶음류,채소류,1,
간장닭갈비,82004.0,B1005001,볶음류,육류,1,
감바스,306226.0,B1007012,볶음류,기타,12,감바스
감자당근볶음,,B1003002,볶음류,채소류,2,
감자볶음,103004.0,B1003003,볶음류,채소류,3,
감자채소볶음,,B1003004,볶음류,채소류,4,
감자파프리카볶음,,B1003005,볶음류,채소류,5,
갑오징어볶음,304055.0,B1004069,볶음류,어패류,69,
갓김치볶음,,B1003006,볶음류,채소류,6,
건가지볶음,,B1003007,볶음류,채소류,7,
건도토리묵볶음,,B1007001,볶음류,기타,1,
건두부볶음,,B1006001,볶음류,두부,1,두부볶음
건새우검정콩볶음,,B1004068,볶음류,어패류,68,
건새우마늘쫑볶음,,B1004067,볶음류,어패류,67,
건새우볶음,101002.0,B1004066,볶음류,어패류,66,
게맛살느타리버섯볶음,,B1004065,볶음류,어패류,65,
고구마닭갈비,,B1005002,볶음류,육류,2,
고추볶음,,B1003008,볶음류,채소류,8,
고추잡채,282747.0,B1002001,볶음류,잡채,1,고추잡채
고추장진미채볶음,,B1004064,볶음류,어패류,64,
국물떡볶이,,B1001001,볶음류,떡볶이,1,
굴볶음,,B1004063,볶음류,어패류,63,
궁중떡볶이,307284.0,B1001002,볶음류,떡볶이,2,
김치닭갈비볶음,,B1005003,볶음류,육류,3,
김치볶음,103012.0,B1003009,볶음류,채소류,9,김치볶음
까르보나라떡볶이,304927.0,B1001003,볶음류,떡볶이,3,
깻잎김치볶음,,B1003010,볶음류,채소류,10,
깻잎순볶음,,B1003011,볶음류,채소류,11,
꼴뚜기조개살볶음,,B1004062,볶음류,어패류,62,
꽈리고추견과볶음,,B1003012,볶음류,채소류,12,
꽈리고추버섯볶음,,B1003013,볶음류,채소류,13,
꽈리고추볶음,305144.0,B1003014,볶음류,채소류,14,
낙지떡볶음,,B1001004,볶음류,떡볶이,4,
낙지볶음,101005.0,B1004061,볶음류,어패류,61,
난자완쓰,,B1007002,볶음류,기타,2,
느타리버섯볶음,103014.0,B1003015,볶음류,채소류,15,
다진쇠고기숙주볶음,,B1005004,볶음류,육류,4,
단호박볶음,,B1003016,볶음류,채소류,16,
달걀토마토볶음,278507.0,B1005005,볶음류,육류,5,
닭가슴살볶음,258168.0,B1005006,볶음류,육류,6,
닭가슴살양배추볶음,299189.0,B1005007,볶음류,육류,7,
닭가슴살채소데리야소스볶음,290567.0,B1005008,볶음류,육류,8,
닭가슴살피망볶음,,B1005009,볶음류,육류,9,
닭갈비,82004.0,B1005010,볶음류,육류,10,
닭고기김치볶음,,B1005011,볶음류,육류,11,
닭고기볶음,302256.0,B1005012,볶음류,육류,12,
닭날개볶음,255882.0,B1005013,볶음류,육류,13,
닭똥집볶음,306939.0,B1005014,볶음류,육류,14,
닭발볶음,306056.0,B1005015,볶음류,육류,15,닭발볶음
닭살채소두반장볶음,287957.0,B1005016,볶음류,육류,16,
닭살채소볶음,302604.0,B1005017,볶음류,육류,17,
닭카레볶음,,B1005018,볶음류,육류,18,
닭파프리카볶음,,B1005019,볶음류,육류,19,
당근버섯볶음,,B1003017,볶음류,채소류,17,
당근볶음,306451.0,B1003018,볶음류,채소류,18,
당근브로콜리볶음,,B1003019,볶음류,채소류,19,
당면버섯볶음,,B1007003,볶음류,기타,3,
더덕돼지주물럭,300551.0,B1005020,볶음류,육류,20,
도라지볶음,103015.0,B1003020,볶음류,채소류,20,
돼지고기고사리볶음,,B1005021,볶음류,육류,21,
돼지고기고수볶음,,B1005022,볶음류,육류,22,
돼지고기김치두루치기,102007.0,B1005023,볶음류,육류,23,
돼지고기김치볶음,102009.0,B1005024,볶음류,육류,24,
돼지고기단호박두루치기,,B1005025,볶음류,육류,25,
돼지고기데리야끼볶음,297102.0,B1005026,볶음류,육류,26,
돼지고기두루치기,102007.0,B1005027,볶음류,육류,27,
돼지고기목살채소볶음,,B1005028,볶음류,육류,28,
돼지고기문어양파주물럭볶음,280383.0,B1005029,볶음류,육류,29,
돼지고기버섯볶음,,B1005030,볶음류,육류,30,
돼지고기볶음,102010.0,B1005031,볶음류,육류,31,
돼지고기오징어주물럭,258363.0,B1005032,볶음류,육류,32,
돼지고기콩나물볶음,303220.0,B1005033,볶음류,육류,33,
돼지고기파인애플볶음,,B1005034,볶음류,육류,34,
돼지고기피망볶음,,B1005035,볶음류,육류,35,
돼지곱창볶음,102012.0,B1005036,볶음류,육류,36,
돼지껍데기볶음,304621.0,B1005037,볶음류,육류,37,
돼지막창볶음,307720.0,B1005038,볶음류,육류,38,
두부김치,307755.0,B1003021,볶음류,채소류,21,두부김치
두부두루치기,104002.0,B1006002,볶음류,두부,2,
두부브로콜리볶음,304581.0,B1006003,볶음류,두부,3,
들깨새송이버섯볶음,298809.0,B1003022,볶음류,채소류,22,
떡볶음,263610.0,B1001005,볶음류,떡볶이,5,
떡볶이,104003.0,B1001006,볶음류,떡볶이,6,
"떡볶이,채소",104003.0,B1001007,볶음류,떡볶이,7,
떡볶이.어묵,104003.0,B1001008,볶음류,떡볶이,8,
떡잡채,105003.0,B1002002,볶음류,잡채,2,
마늘볶음,303626.0,B1003023,볶음류,채소류,23,
마늘쫑볶음,103016.0,B1003024,볶음류,채소류,24,마늘쫑볶음
마늘쫑새우볶음,303424.0,B1003025,볶음류,채소류,25,
마라상궈,306598.0,B1007004,볶음류,기타,4,
마파두부,104007.0,B1006004,볶음류,두부,4,마파두부
막창볶음,,B1005039,볶음류,육류,39,
매운족발볶음,,B1005040,볶음류,육류,40,
머위볶음,305124.0,B1003026,볶음류,채소류,26,
멸치견과류볶음,,B1004060,볶음류,어패류,60,
멸치고추볶음,101004.0,B1004059,볶음류,어패류,59,
멸치고추장볶음,,B1004058,볶음류,어패류,58,
