분류,대분류,중분류,소분류,기존코드,신규코드,음식명,코드,중복확인,영양성분분석코드,분석명,학습폴더명,1
B,볶음류,채소류,01,B100301,B1003001,가지볶음,B1003001,정상,103001,가지볶음,,
B,볶음류,육류,01,B100501,B1005001,간장닭갈비,B1005001,정상,82004,닭갈비,,
B,볶음류,기타,12,B100712,B1007012,감바스,B1007012,정상,306226,감바스,감바스,
B,볶음류,채소류,02,B100302,B1003002,감자당근볶음,B1003002,정상,,,,
B,볶음류,채소류,03,B100303,B1003003,감자볶음,B1003003,정상,103004,감자채볶음,,
B,볶음류,채소류,04,B100304,B1003004,감자채소볶음,B1003004,정상,,,,
B,볶음류,채소류,05,B100305,B1003005,감자파프리카볶음,B1003005,정상,,,,
B,볶음류,어패류,69,B100469,B1004069,갑오징어볶음,B1004069,정상,304055,갑오징어볶음,,
B,볶음류,채소류,06,B100306,B1003006,갓김치볶음,B1003006,정상,,,,
B,볶음류,채소류,07,B100307,B1003007,건가지볶음,B1003007,정상,,,,
B,볶음류,기타,01,B100701,B1007001,건도토리묵볶음,B1007001,정상,,,,
B,볶음류,두부,01,B100601,B1006001,건두부볶음,B1006001,정상,,,두부볶음,
B,볶음류,어패류,68,B100468,B1004068,건새우검정콩볶음,B1004068,정상,,,,
B,볶음류,어패류,67,B100467,B1004067,건새우마늘쫑볶음,B1004067,정상,,,,
B,볶음류,어패류,66,B100466,B1004066,건새우볶음,B1004066,정상,101002,건새우볶음,,
B,볶음류,어패류,65,B100465,B1004065,게맛살느타리버섯볶음,B1004065,정상,,,,
B,볶음류,육류,02,B100502,B1005002,고구마닭갈비,B1005002,정상,,,,
B,볶음류,채소류,08,B100308,B1003008,고추볶음,B1003008,정상,,,,
B,볶음류,잡채,01,B100201,B1002001,고추잡채,B1002001,정상,282747,떡만이 고추잡채,고추잡채,
B,볶음류,어패류,64,B100464,B1004064,고추장진미채볶음,B1004064,정상,,,,
B,볶음류,떡볶이,01,B100101,B1001001,국물떡볶이,B1001001,정상,,,,
B,볶음류,어패류,63,B100463,B1004063,굴볶음,B1004063,정상,,,,
B,볶음류,떡볶이,02,B100102,B1001002,궁중떡볶이,B1001002,정상,307284,궁중떡볶이,,
B,볶음류,육류,03,B100503,B1005003,김치닭갈비볶음,B1005003,정상,,,,
B,볶음류,채소류,09,B100309,B1003009,김치볶음,B1003009,정상,103012,김치볶음,김치볶음,
B,볶음류,떡볶이,03,B100103,B1001003,까르보나라떡볶이,B1001003,정상,304927,까르보나라 떡볶이,,
B,볶음류,채소류,10,B100310,B1003010,깻잎김치볶음,B1003010,정상,,,,
B,볶음류,채소류,11,B100311,B1003011,깻잎순볶음,B1003011,정상,,,,
B,볶음류,어패류,62,B100462,B1004062,꼴뚜기조개살볶음,B1004062,정상,,,,
B,볶음류,채소류,12,B100312,B1003012,꽈리고추견과볶음,B1003012,정상,,,,
B,볶음류,채소류,13,B100313,B1003013,꽈리고추버섯볶음,B1003013,정상,,,,
B,볶음류,채소류,14,B100314,B1003014,꽈리고추볶음,B1003014,정상,305144,꽈리고추볶음,,
B,볶음류,떡볶이,04,B100104,B1001004,낙지떡볶음,B1001004,정상,,,,
B,볶음류,어패류,61,B100461,B1004061,낙지볶음,B1004061,정상,101005,낙지볶음,,
B,볶음류,기타,02,B100702,B1007002,난자완쓰,B1007002,정상,,,,
B,볶음류,채소류,15,B100315,B1003015,느타리버섯볶음,B1003015,정상,103014,느타리버섯볶음,,
B,볶음류,육류,04,B100504,B1005004,다진쇠고기숙주볶음,B1005004,정상,,,,
B,볶음류,채소류,16,B100316,B1003016,단호박볶음,B1003016,정상,,,,
B,볶음류,육류,05,B100505,B1005005,달걀토마토볶음,B1005005,정상,278507,토마토달걀볶음,,
B,볶음류,육류,06,B100506,B1005006,닭가슴살볶음,B1005006,정상,258168,두부닭가슴살볶음,,
